,0
school,0.22731552816298586
sex,0.24224828320873518
age,1.483859308718066
address,0.21173124845441232
famsize,0.20864007304685267
Pstatus,0.10823869580931729
Medu,1.2872082405980712
Fedu,1.2098480092830375
Mjob,1.5582948125321006
Fjob,0.7456105309212654
reason,1.4209705339648844
guardian,0.26955525119366924
traveltime,0.5604919248987045
studytime,0.688086134413818
failures,0.3519279423234226
schoolsup,0.09394319846297247
famsup,0.23754018528029827
paid,0.05656850995834046
activities,0.2501712035610341
nursery,0.1585725427533337
higher,0.09516064600810363
internet,0.17880785253666612
romantic,0.23300329091289546
famrel,0.9133947763891266
freetime,1.1047956019707432
goout,1.382425954459853
Dalc,0.8553187239627917
Walc,1.6496319123437768
health,2.091665239970325
absences,21.536642317715764
G1,7.536480625463675
G2,8.489290266126424
G3,10.437139759173657
